TEAM,MATCH_UP,GAME_DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,DREB%,REB%,TS%,PACE,PIE,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,PTS OFF TO,2ND PTS,FBPS,PITP,OPP PTS OFF TO,OPP 2ND PTS,OPP FBPS,OPP PITP,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFF TO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
DEN,DEN @ LAL,8/10/20,L,48,121,45,77,58.4,13,23,56.5,18,23,78.3,10,25,35,27,14,6,2,20,-3,133,137.8,-4.8,60,1.93,20.5,61.9,51.9,69.4,90.5,50.4,0.669,0.299,15.4,0.4,0.63,0.395,11.1,0.381,10,14,13,54,25,20,12,56,70.1,29.9,52.9,8.3,32.2,10.7,14.9,8.3,44.6,53.1,46.9,76.9,23.1,60,40
MIA,MIA vs. IND,8/10/20,W,48,114,44,98,44.9,13,40,32.5,13,19,68.4,13,46,59,29,14,11,9,20,22,110.7,90.2,20.5,65.9,2.07,19.3,82.1,57,53.6,102.5,64.3,0.515,0.194,13.6,0.328,0.452,0.298,16.7,0.179,19,28,16,56,11,13,8,40,59.2,40.8,54.4,5.3,34.2,14,11.4,16.7,49.1,58.1,41.9,84.6,15.4,65.9,34.1
LAL,LAL vs. DEN,8/10/20,W,48,124,44,81,54.3,14,29,48.3,22,32,68.8,14,18,32,28,10,8,4,18,3,137.8,133,4.8,63.6,2.8,20.9,60,48.1,65.2,90.5,49.6,0.63,0.395,11.1,0.381,0.669,0.299,15.4,0.4,25,20,12,56,10,14,13,54,64.2,35.8,48.4,3.2,33.9,9.7,17.7,20.2,45.2,53.3,46.7,85.7,14.3,63.6,36.4
OKC,OKC @ PHX,8/10/20,L,48,101,35,90,38.9,13,39,33.3,18,21,85.7,8,32,40,24,19,10,2,23,-27,92.7,118.5,-25.9,68.6,1.26,16.7,70.8,43.4,50.9,108.5,36.3,0.461,0.233,17.4,0.207,0.567,0.326,18.5,0.292,24,13,13,32,20,14,23,40,56.7,43.3,43.6,11.9,38.6,12.9,17.8,23.8,31.7,59.1,40.9,84.6,15.4,68.6,31.4
UTA,UTA vs. DAL,8/10/20,L,48,114,39,82,47.6,21,46,45.7,15,20,75,11,27,38,28,12,5,6,19,-8,122.6,131.2,-8.6,71.8,2.33,21.2,76.3,50,62.8,93,46.2,0.604,0.244,12.9,0.273,0.635,0.188,8.6,0.237,12,15,8,28,20,15,9,58,43.9,56.1,31.6,7,55.3,7,13.2,10.5,24.6,66.7,33.3,76.2,23.8,71.8,28.2
MIL,MIL vs. TOR,8/10/20,L,48,106,33,84,39.3,14,43,32.6,26,35,74.3,11,38,49,25,19,4,6,21,-8,99.1,108.6,-9.5,75.8,1.32,17,69.5,48.7,53.3,106,46.2,0.476,0.417,17.8,0.268,0.495,0.268,13.3,0.305,19,10,2,30,20,21,16,46,48.8,51.2,35.8,7.5,39.6,1.9,24.5,17.9,28.3,57.9,42.1,100,0,75.8,24.2
PHX,PHX vs. OKC,8/10/20,W,48,128,42,89,47.2,17,34,50,27,29,93.1,12,41,53,29,20,11,7,23,27,118.5,92.7,25.9,69,1.45,19.2,79.3,56.6,62.9,108.5,63.7,0.567,0.326,18.5,0.292,0.461,0.233,17.4,0.207,20,14,23,40,24,13,13,32,61.8,38.2,39.1,7.8,39.8,18,21.1,15.6,31.3,60,40,82.4,17.6,69,31
TOR,TOR @ MIL,8/10/20,W,48,114,42,97,43.3,12,40,30,18,26,69.2,16,39,55,24,14,11,6,27,8,108.6,99.1,9.5,57.1,1.71,16.3,73.2,51.3,52.6,106,53.8,0.495,0.268,13.3,0.305,0.476,0.417,17.8,0.268,20,21,16,46,19,10,2,30,58.8,41.2,52.6,12.3,31.6,14,15.8,17.5,40.4,43.3,56.7,91.7,8.3,57.1,42.9
DAL,DAL @ UTA,8/10/20,W,48,122,48,85,56.5,12,24,50,14,16,87.5,4,30,34,29,8,6,3,23,8,131.2,122.6,8.6,60.4,3.63,22.1,72.7,50,66.3,93,53.8,0.635,0.188,8.6,0.237,0.604,0.244,12.9,0.273,20,15,9,58,12,15,8,28,71.8,28.2,59,11.5,29.5,7.4,11.5,16.4,47.5,55.6,44.4,75,25,60.4,39.6
IND,IND @ MIA,8/10/20,L,48,92,33,84,39.3,10,35,28.6,16,25,64,6,39,45,20,17,5,4,19,-22,90.2,110.7,-20.5,60.6,1.18,15.3,67.2,43,48.4,102.5,35.7,0.452,0.298,16.7,0.179,0.515,0.194,13.6,0.328,11,13,8,40,19,28,16,56,58.3,41.7,50,6.5,32.6,8.7,17.4,12,43.5,56.5,43.5,70,30,60.6,39.4
